bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Pole-like Objects Mapping and Long-Term Robot Localization in Dynamic Urban Scenarios,Z. Wang and S. Li and M. Cao and H. Chen and Y. Liu,,2021,IEEE Abstract,998--1003,,"Localization on 3D data is a challenging task for unmanned vehicles, especially in long-term dynamic urban scenarios. Due to the generality and long-term stability, the pole-like objects are very suitable as landmarks for unmanned vehicle localization in time-varying scenarios. In this paper, a long-term LiDAR-only localization algorithm based on semantic cluster map is proposed. At first, the Convolutional Neural Network(CNN) is used to infer the semantics of LiDAR point clouds. Combined with the point cloud segmentation, the static objects pole/trunk are extracted and registered into global semantic cluster map. When the unmanned vehicle re-enters the environment again, the relocalization is completed by matching the clusters of current scan with the clusters of the global map. Furthermore, the matching between the local and global maps stably outputs the global pose at 2Hz to correct the drift of the 3D LiDAR odometry. The experimental results on our campus dataset demonstrate that the proposed approach performs better in localization accuracy compared with the current state-of-the-art methods. The source of this paper is available at: http://www.github.com/HITSZ-NRSL/long-term-localization.",,10.1109/ROBIO54168.2021.9739599,,,,Location awareness;Point cloud compression;Laser radar;Three-dimensional displays;Heuristic algorithms;Semantics;Clustering algorithms,,,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Towards background flow based AUV localization,Z. Song and K. Mohseni,,2014,IEEE Abstract,6945--6950,,"Underwater localization faces many constrains and long-term persistent global localization for autonomous underwater vehicles (AUVs) is very difficult. In this paper, we propose a novel AUV localization method taking advantage of the recent progress in ocean general circulation models (OGCMs). During navigation, the AUV performs intermittent local background flow velocity measurements or estimates using on-board sensors. A series of preloaded flow velocity forecast maps generated by OGCMs are referred by a particle filter in updating particle weights based on resemblance between forecasts and local estimation. A rigorous derivation of the problem in probability theory is presented to reveal the recursive structure of the target distribution function. Simulations in a simple double-gyre velocity field exhibit satisfactory converging localization error. Further simulations in a flow field with local flow fluctuations that are not resolved by OGCMs show similar convergent localization error with a slower converging rate. As a first step towards a new set of underwater localization methods, this work presents promising results and reveals the possibility of realizing converging global underwater localization through partial utilization of the background flow information that is easily accessible.",,10.1109/CDC.2014.7040480,,,,Oceans;Vehicles;Velocity measurement;Vectors;Navigation;Robots;Sensors,,0191-2216,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Consistent Cuboid Detection for Semantic Mapping,Z. S. Hashemifar and K. W. Lee and N. Napp and K. Dantu,,2017,IEEE Abstract,526--531,,"Building and storing efficient maps is an essential feature for long-term autonomy of robots. Modern sensors (such as Kinect) tend to produce a lot of data. However, long-term autonomy requires us to store this information in a succinct manner. One way to reduce dimensionality of information is to attribute semantics. Most indoor objects are cuboidal in nature. We conjecture that cuboids are a suitable semantic feature to attribute to indoor objects for efficient mapping. We adapt a cuboid fitting algorithm previously proposedfor object recognition, for indoor mapping. Our work stems from the observation that landmark detection for mappingrequires consistent detection of those landmarks. We implement several modifications to this cuboid detection algorithm that lead to consistent detection such as emptiness, orientation, surface coverage, distance from edges, and others. We incorporate these in the identification of the cuboid candidates in a scene, as well as an optimization algorithm for finding the best set of consistent cubes to cover a given scene. Our experiments show that in comparison, the set of cuboids detected by our algorithm are at least 50% more consistent based on our metrics.SLAM.",,10.1109/ICSC.2017.78,,,,Image segmentation;Simultaneous localization and mapping;Semantics;Object recognition;Image edge detection;Optimization;Image color analysis,,,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,An 879GOPS 243mW 80fps VGA Fully Visual CNN-SLAM Processor for Wide-Range Autonomous Exploration,Z. Li and Y. Chen and L. Gong and L. Liu and D. Sylvester and D. Blaauw and H.-S. Kim,,2019,IEEE Abstract,134--136,,"Simultaneous localization and mapping (SLAM) estimates an agent's trajectory for all six degrees of freedom (6 DoF) and constructs a 3D map of an unknown surrounding. It is a fundamental kernel that enables head-mounted augmented/virtual reality devices and autonomous navigation of micro aerial vehicles. A noticeable recent trend in visual SLAM is to apply computationand memory-intensive convolutional neural networks (CNNs) that outperform traditional hand-designed feature-based methods [1]. For each video frame, CNN-extracted features are matched with stored keypoints to estimate the agent's 6-DoF pose by solving a perspective-n-points (PnP) non-linear optimization problem (Fig. 7.3.1, left). The agent's long-term trajectory over multiple frames is refined by a bundle adjustment process (BA, Fig. 7.3.1 right), which involves a large-scale (~120 variables) non-linear optimization. Visual SLAM requires massive computation (>250GOP/s) in the CNN-based feature extraction and matching, as well as datadependent dynamic memory access and control flow with high-precision operations, creating significant low-power design challenges. Software implementations are impractical, resulting in 0.2s runtime with a ~3GHz CPU+ GPU system with >100MB memory footprint and >100W power consumption. Prior ASICs have implemented either an incomplete SLAM system [2,3] that lacks estimation of ego-motion or employed a simplified (non-CNN) feature extraction and tracking [2,4,5] that limits SLAM quality and range. A recent ASIC [5] augments visual SLAM with an off-chip high-precision inertial measurement unit (IMU), simplifying the computational complexity, but incurring additional power and cost overhead.",,10.1109/ISSCC.2019.8662397,,,,Simultaneous localization and mapping;Engines;Three-dimensional displays;Two dimensional displays;Feature extraction;Visualization;Trajectory,,2376-8606,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Bio-inspired Relocalization for Indoor Robots in Visual Ambiguous Scenarios,Y. Long and R. Jiang and F. Ye,,2022,IEEE Abstract,685--689,,"In recent years, robots have been widely used in the service industry to improve work efficiency. An indoor service robot should have long-term autonomous adaptability and this is achieved by performing lifelong simultaneous localization and mapping (SLAM). However, when a robot wakes up to SLAM, it needs to relocate itself first. In real-world applications, the visual ambiguous environment which contains multiple locations with similar appearances or features is a challenging scenario for localization. Considering the insufficient expression ability of a single sensor, this paper proposes a bio-inspired relocalization method to deal with this problem. The local view cells model maintains multi-hypotheses to provide visual-based coarse relocalization. Then, an obstacle cell model converts the self-centered lidar information into allocentric representation. And it serves as the fine relocalization. A continuous attractor neural network (CANN) is applied to integrate the candidates obtained through the above two stages. Finally, the result of relocalization is selected by a double-checking mechanism. In the experiments, the success rate of the proposed method reaches 95 % in total and 75% in the most challenging scene. The translation error in all scenes is less than 0.15m.",,10.1109/ICCECE54139.2022.9712794,,,,Location awareness;Visualization;Simultaneous localization and mapping;Uncertainty;Laser radar;Service robots;Biological system modeling;relocalization;bio-inspired;indoor robots;visual ambiguous scene;RatSLAM,,,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,"Realizing, reversing, recovering: Incremental robust loop closing over time using the iRRR algorithm",Y. Latif and C. Cadena and J. Neira,,2012,IEEE Abstract,4211--4217,,"The ability to reconsider information over time allows to detect failures and is crucial for long term robust autonomous robot applications. This applies to loop closure decisions in localization and mapping systems. This paper describes a method to analyze all available information up to date in order to robustly remove past incorrect loop closures from the optimization process. The main novelties of our algorithm are: 1. incrementally reconsidering loop closures and 2. handling multi-session, spatially related or unrelated experiments. We validate our proposal in real multi-session experiments showing better results than those obtained by state of the art methods.",,10.1109/IROS.2012.6385879,,,,Robustness;Clustering algorithms;Proposals;Optimization;Robots;Trajectory;Estimation,,2153-0866,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,"2-Entity Random Sample Consensus for Robust Visual Localization: Framework, Methods, and Verifications",Y. Jiao and Y. Wang and X. Ding and B. Fu and S. Huang and R. Xiong,IEEE Transactions on Industrial Electronics,2021,IEEE Abstract,4519--4528,68,"Robust and efficient visual localization is essential for numerous robotic applications. However, it remains a challenging problem especially when significant environmental or perspective changes are present, as there are high percentage of outliers, i.e., incorrect feature matches between the query image and the map. In this article, we propose a novel 2-entity random sample consensus (RANSAC) framework using three-dimensional-two-dimensional point and line feature matches for visual localization with the aid of inertial measurements and derive minimal closed-form solutions using only 1 point 1 line or 2 point matches for both monocular and multi-camera system. The proposed 2-entity RANSAC can achieve higher robustness against outliers as multiple types of features are utilized and the number of matches needed to compute a pose is reduced. Furthermore, we propose a learning-based sampling strategy selection mechanism and a feature scoring network to be adaptive to different environmental characteristics such as structured and unstructured. Finally, both simulation and real-world experiments are performed to validate the robustness and effectiveness of the proposed method in scenarios with long-term and perspective changes.",,10.1109/TIE.2020.2984970,,,,Cameras;Visualization;Robustness;Robot vision systems;Pose estimation;Closed-form solutions;Computational modeling;Camera pose estimation;random sample consensus (RANSAC);robust localization,,1557-9948,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,An Everyday Robotic System that Maintains Local Rules Using Semantic Map Based on Long-Term Episodic Memory,Y. Furuta and K. Okada and Y. Kakiuchi and M. Inaba,,2018,IEEE Abstract,1--7,,"To enable robots to work on real home environments, they have to not only consider common knowledge in the global society, but also be aware of existing rules there. Since such “local rules” are not describable beforehand, robot agents must acquire them through their lives after deployment. To achieve this, we developed a framework that a) lets robots record long-term episodic memories in their deployed environments, b) autonomously builds probabilistic object localization map as structurization of logged data and c) make adapted task plans based on the map. We equipped our framework on PR2 and Fetch robots operating and recording episodic memory for 41 days with semantic common knowledge of the environment. We also conducted demonstrations in which a PR2 robot tidied up a room, showing that the robot agent can successfully plan and execute local-rule-aware home assistive tasks by using our proposed framework.",,10.1109/IROS.2018.8594481,,,,Task analysis;Probabilistic logic;Semantics;Planning;Robot sensing systems;Solid modeling;Service Robots;Learning and Adaptive Systems;Big Data in Robotics and Automation,,2153-0866,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,DiSCO: Differentiable Scan Context With Orientation,X. Xu and H. Yin and Z. Chen and Y. Li and Y. Wang and R. Xiong,IEEE Robotics and Automation Letters,2021,IEEE Abstract,2791--2798,6,"Global localization is essential for robot navigation, of which the first step is to retrieve a query from the map database. This problem is called place recognition. In recent years, LiDAR scan based place recognition has drawn attention as it is robust against the appearance change. In this letter, we propose a LiDAR-based place recognition method, named Differentiable Scan Context with Orientation (DiSCO), which simultaneously finds the scan at a similar place and estimates their relative orientation. The orientation can further be used as the initial value for the down-stream local optimal metric pose estimation, improving the pose estimation especially when a large orientation between the current scan and retrieved scan exists. Our key idea is to transform the feature into the frequency domain. We utilize the magnitude of the spectrum as the place descriptor, which is theoretically rotation-invariant. In addition, based on the differentiable phase correlation, we can efficiently estimate the global optimal relative orientation using the spectrum. With such structural constraints, the network can be learned in an end-to-end manner, and the backbone is fully shared by the two tasks, achieving better interpretability and lightweight. Finally, DiSCO is validated on three datasets with long-term outdoor conditions, showing better performance than the compared methods. Codes are released at https://github.com/MaverickPeter/DiSCO-pytorch.",,10.1109/LRA.2021.3060741,,,,Three-dimensional displays;Feature extraction;Laser radar;Pose estimation;Visualization;Transforms;Location awareness;Localization;range sensing;SLAM,,2377-3766,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Are We Ready for Service Robots? The OpenLORIS-Scene Datasets for Lifelong SLAM,X. Shi and D. Li and P. Zhao and Q. Tian and Y. Tian and Q. Long and C. Zhu and J. Song and F. Qiao and L. Song and Y. Guo and Z. Wang and Y. Zhang and B. Qin and W. Yang and F. Wang and R. H. M. Chan and Q. She,,2020,IEEE Abstract,3139--3145,,"Service robots should be able to operate autonomously in dynamic and daily changing environments over an extended period of time. While Simultaneous Localization And Mapping (SLAM) is one of the most fundamental problems for robotic autonomy, most existing SLAM works are evaluated with data sequences that are recorded in a short period of time. In real-world deployment, there can be out-of-sight scene changes caused by both natural factors and human activities. For example, in home scenarios, most objects may be movable, replaceable or deformable, and the visual features of the same place may be significantly different in some successive days. Such out-of-sight dynamics pose great challenges to the robustness of pose estimation, and hence a robot’s long-term deployment and operation. To differentiate the forementioned problem from the conventional works which are usually evaluated in a static setting in a single run, the term lifelong SLAM is used here to address SLAM problems in an ever-changing environment over a long period of time. To accelerate lifelong SLAM research, we release the OpenLORIS-Scene datasets. The data are collected in real-world indoor scenes, for multiple times in each place to include scene changes in real life. We also design benchmarking metrics for lifelong SLAM, with which the robustness and accuracy of pose estimation are evaluated separately. The datasets and benchmark are available online at lifelong-robotic-vision.github.io/dataset/scene.",,10.1109/ICRA40945.2020.9196638,,,,Simultaneous localization and mapping;Robot kinematics;Cameras;Synchronization;Trajectory,,2577-087X,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Persistent Stereo Visual Localization on Cross-Modal Invariant Map,X. Ding and Y. Wang and R. Xiong and D. Li and L. Tang and H. Yin and L. Zhao,IEEE Transactions on Intelligent Transportation Systems,2020,IEEE Abstract,4646--4658,21,"Autonomous mobile vehicles are expected to perform persistent and accurate localization with low-cost equipment. To achieve this goal, we propose a stereo camera based visual localization method using a modified laser map, which takes the advantage of both the low cost of camera, and high geometric precision of laser data to achieve long-term performance. Considering that LiDAR and camera give measurements of the same environment in different modalities, the cross-modal invariance is investigated to modify the laser map for visual localization. Specifically, a map learning algorithm is introduced to sample the robust subsets in laser maps that are useful for visual localization using multi-session visual and laser data. Further, a generative map model is derived to describe this cross-modal invariance, based on which two types of measurements are defined to model the laser map points as appropriate visual observations. Tightly coupling these measurements within the local bundle adjustment during online sliding-window based visual odometry, the vehicle can achieve robust localization even one year after the map was built. The effectiveness of the proposed method is evaluated on both the public KITTI datasets and self-collected datasets in our campus, which include seasonal, illumination and object variations. On all experimental localization sessions, our method provides satisfactory results, even when the direction is opposite to that in the mapping session, verifying the superior performance of the laser map based visual localization method.",,10.1109/TITS.2019.2942760,,,,Visualization;Cameras;Measurement by laser beam;Laser modes;Maintenance engineering;Laser stability;Visual localization;persistent autonomy;map maintenance;map incorporated bundle adjustment,,1558-0016,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Communication constrained cloud-based long-term visual localization in real time,X. Ding and Y. Wang and L. Tang and H. Yin and R. Xiong,,2019,IEEE Abstract,2159--2166,,"Visual localization is one of the primary capabilities for mobile robots. Long-term visual localization in real time is particularly challenging, in which the robot is required to efficiently localize itself using visual data where appearance may change significantly over time. In this paper, we propose a cloud-based visual localization system targeting at long-term localization in real time. On the robot, we employ two estimators to achieve accurate and real-time performance. One is a sliding-window based visual inertial odometry, which integrates constraints from consecutive observations and self-motion measurements, as well as the constraints induced by localization results from the cloud. This estimator builds a local visual submap as the virtual observation which is then sent to the cloud as new localization constraints. The other one is a delayed state Extended Kalman Filter to fuse the pose of the robot localized from the cloud, the local odometry and the high-frequency inertial measurements. On the cloud, we propose a longer sliding-window based localization method to aggregate the virtual observations for larger field of view, leading to more robust alignment between virtual observations and the map. Under this architecture, the robot can achieve drift-free and real-time localization using onboard resources even in a network with limited bandwidth, high latency and existence of package loss, which enables the autonomous navigation in real-world environment. We evaluate the effectiveness of our system on a dataset with challenging seasonal and illuminative variations. We further validate the robustness of the system under challenging network conditions.",,10.1109/IROS40897.2019.8968550,,,,,,2153-0866,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Active vision for wearables,W. W. Mayol and B. J. Tordoff and T. E. D. Campos and A. J. Davison and D. W. Murray,,2003,IEEE Abstract,99--104,,"In this paper we report on our ongoing research on wearable active vision, where we have iteratively prototyped a wearable visual robot - a body mounted robot for which the main sensor is a camera. Two main areas have been studied: robot design and visual algorithms. In the design stage, we have analysed sensor placement through the computation of the field of view and body motion using a 3D model of the human form. A design methodology for the robot morphology was developed with the help of an optimisation algorithm based on the Pareto front. The wearability of the device has progressed over several iterations as have the sensor and control architectures. In terms of visual algorithms, we have studied methods of visual tracking fused with inertial sensors, real-time template tracking, human head pose recovery and more recently real-time simultaneous ego-localisation and autonomous 3D map building. Our main long-term application areas are enhanced remote collaboration and autonomous wearable assistants that use vision.",,10.1049/ic:20030154,,,,,,0537-9989,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,A Life-Long SLAM Approach Using Adaptable Local Maps Based on Rasterized LIDAR Images,W. Ali and P. Liu and R. Ying and Z. Gong,IEEE Sensors Journal,2021,IEEE Abstract,21740--21749,21,"Most real-time autonomous robot applications require a robot to traverse through a dynamic space for a long time. In some cases, a robot needs to work in the same environment. Such applications give rise to the problem of a life-long SLAM system. Life-long SLAM presents two main challenges i.e. the tracking should not fail in a dynamic environment and the need for a robust and efficient mapping strategy. The system should update maps with new information; while also keeping track of older observations. But, mapping for a long time can require higher computational requirements. In this paper, we propose a solution to the problem of life-long SLAM. We represent the global map as a set of rasterized images of local maps along with a map management system responsible for updating local maps and keeping track of older values. We also present an efficient approach of using the bag of visual words method for loop closure detection and relocalization. We evaluate the performance of our system on the KITTI dataset and an indoor dataset. Our loop closure system reported recall and precision of above 90 percent. The computational cost of our system is much lower as compared to state-of-the-art methods. Our method reports lower computational requirements even for long-term operation.",,10.1109/JSEN.2021.3100882,,,,Simultaneous localization and mapping;Three-dimensional displays;Feature extraction;Robots;Databases;Laser radar;Sensors;Laser scanning;place recognition;bag of words;rasterization;mapping;simultaneous localization;mapping,,1558-1748,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Performance Analysis of Feature Detectors and Descriptors in Underwater and Polar Environments,V. Shah and J. Nir and P. Kaveti and H. Singh,,2021,IEEE Abstract,1--7,,"Many scientific mapping surveys that deploy robotic platforms in underwater and polar environments perform Visual Simultaneous Localization and Mapping (VSLAM), Structure for Motion (SfM), and Image Mosaicking. These techniques heavily rely on robust and reliable feature-based vision front ends. The job of a vision front end is to provide correspondence information between different camera views which is then directly fed into a bundle adjustment step. Although the atomic steps involved in constructing a vision front end are well-known, many of the popular choices of the features and their parameters do not perform reliably in a variety of visually degraded underwater and polar environments that are characterized by low texture and contrast, and by unevenly lit and low-overlap imagery. In this paper, we develop novel metrics and quantitative analysis methods which can measure the impact of image pre-processing steps such as Contrast Limited Adaptive Histogram Equalization (CLAHE) on the improvement of vision front-end outputs. Our metrics and quantitative analysis can guide the selection between different feature detectors and descriptors to develop a reliable and robust vision front end that can operate in a wider range of underwater and polar environments. We showcase how CLAHE improves the saliency of features and feature track length on a visually degraded dataset underwater, resulting in a substantial increase in correspondence information for the SfM solution. Finally, we perform an end-to-end SfM analysis that shows reduced accumulated drift over the long term and improved accuracy.",,10.23919/OCEANS44145.2021.9705975,,,,Measurement;Visualization;Sea surface;Simultaneous localization and mapping;Statistical analysis;Detectors;Feature extraction;Robust visual perception;Underwater and Polar environments Low texture and contrast;SLAM;CLAHE,,0197-7385,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Bathymetric factor graph SLAM with sparse point cloud alignment,V. Bichucher and J. M. Walls and P. Ozog and K. A. Skinner and R. M. Eustice,,2015,IEEE Abstract,1--7,,"This paper reports on a factor graph simultaneous localization and mapping framework for autonomous underwater vehicle localization based on terrain-aided navigation. The method requires no prior bathymetric map and only assumes that the autonomous underwater vehicle has the ability to sparsely sense the local water column depth, such as with a bottom-looking Doppler velocity log. Since dead-reckoned navigation is accurate in short time windows, the vehicle accumulates several water column depth point clouds- or submaps-during the course of its survey. We propose an xy-alignment procedure between these submaps in order to enforce consistent bathymetric structure over time, and therefore attempt to bound long-term navigation drift. We evaluate the submap alignment method in simulation and present performance results from multiple autonomous underwater vehicle field trials.",,10.23919/OCEANS.2015.7404433,,,,Simultaneous localization and mapping;Three-dimensional displays;Vehicles;Trajectory;Smoothing methods;Global Positioning System,,,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Mining DCNN landmarks for long-term visual SLAM,T. Taisho and T. Kanji,,2016,IEEE Abstract,570--576,,"Long-term visual SLAM, in familiar, semi-dynamic, and partially changing environments is an important area of research in robotics. The main problem we faced is the question of how to describe a scene discriminatively and compactly-both of which are necessary in order to cope with changes in appearance and a large amount of visual information. In this study, we address the above issues by mining visual experience. Our strategy is to mine a library of raw visual images, termed visual experience, to find the relevant visual patterns to effectively explain the input scene. From a practical point of view, our work offers three main contributions over the previous work. First, it is the first application of discriminative visual features from deep convolutional neural networks (DCNN) to the task of visual landmark mining. Second, we show how to interpret a high-dimensional DCNN feature to a compact semantic representation of visual word. Third, we show that our approach can turn the scene description task with any feature (including the DCNN feature) into the task of mining visual experience. Experiments on a challenging cross-domain visual place recognition validate efficacy of the proposed approach.",,10.1109/ROBIO.2016.7866383,,,,Visualization;Libraries;Feature extraction;Databases;Principal component analysis;Simultaneous localization and mapping,,,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,AVP-SLAM: Semantic Visual Mapping and Localization for Autonomous Vehicles in the Parking Lot,T. Qin and T. Chen and Y. Chen and Q. Su,,2020,IEEE Abstract,5939--5945,,"Autonomous valet parking is a specific application for autonomous vehicles. In this task, vehicles need to navigate in narrow, crowded and GPS-denied parking lots. Accurate localization ability is of great importance. Traditional visual-based methods suffer from tracking lost due to texture-less regions, repeated structures, and appearance changes. In this paper, we exploit robust semantic features to build the map and localize vehicles in parking lots. Semantic features contain guide signs, parking lines, speed bumps, etc, which typically appear in parking lots. Compared with traditional features, these semantic features are long-term stable and robust to the perspective and illumination change. We adopt four surround-view cameras to increase the perception range. Assisting by an IMU (Inertial Measurement Unit) and wheel encoders, the proposed system generates a global visual semantic map. This map is further used to localize vehicles at the centimeter level. We analyze the accuracy and recall of our system and compare it against other methods in real experiments. Furthermore, we demonstrate the practicability of the proposed system by the autonomous parking application.",,10.1109/IROS45743.2020.9340939,,,,Location awareness;Visualization;Navigation;Semantics;Wheels;Cameras;Autonomous vehicles,,2153-0866,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Vision-based Markov localization across large perceptual changes,T. Naseer and B. Suger and M. Ruhnke and W. Burgard,,2015,IEEE Abstract,1--6,,"Recently, there has been significant progress towards lifelong, autonomous operation of mobile robots, especially in the field of localization and mapping. One important challenge in this context is visual localization under substantial perceptual changes, for example, coming from different seasons. In this paper, we present an approach to localize a mobile robot with a low frequency camera with respect to an image sequence, recorded previously within a different season. Our approach uses a discrete Bayes filter and a sensor model based on whole image descriptors. Thereby it exploits sequential information to model the dynamics of the system. Since we compute a probability distribution over the whole state space, our approach can handle more complex trajectories that may include same season loop-closures as well as fragmented sub-sequences. Throughout an extensive experimental evaluation on challenging datasets, we demonstrate that our approach outperforms state-of-the-art techniques.",,10.1109/ECMR.2015.7324181,,,,Databases;Robot sensing systems;Context;Lead;Cameras;Matched filters,,,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Multiple map hypotheses for planning and navigating in non-stationary environments,T. Morris and F. Dayoub and P. Corke and G. Wyeth and B. Upcroft,,2014,IEEE Abstract,2765--2770,,"This paper presents a method to enable a mobile robot working in non-stationary environments to plan its path and localize within multiple map hypotheses simultaneously. The maps are generated using a long-term and short-term memory mechanism that ensures only persistent configurations in the environment are selected to create the maps. In order to evaluate the proposed method, experimentation is conducted in an office environment. Compared to navigation systems that use only one map, our system produces superior path planning and navigation in a non-stationary environment where paths can be blocked periodically, a common scenario which poses significant challenges for typical planners.",,10.1109/ICRA.2014.6907255,,,,Navigation;Three-dimensional displays;Planning;Robot sensing systems;Switches;Current measurement,,1050-4729,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Persistent localization and life-long mapping in changing environments using the Frequency Map Enhancement,T. Krajník and J. P. Fentanes and M. Hanheide and T. Duckett,,2016,IEEE Abstract,4558--4563,,"We present a lifelong mapping and localisation system for long-term autonomous operation of mobile robots in changing environments. The core of the system is a spatio-temporal occupancy grid that explicitly represents the persistence and periodicity of the individual cells and can predict the probability of their occupancy in the future. During navigation, our robot builds temporally local maps and integrates then into the global spatio-temporal grid. Through re-observation of the same locations, the spatio-temporal grid learns the long-term environment dynamics and gains the ability to predict the future environment states. This predictive ability allows to generate time-specific 2d maps used by the robot's localisation and planning modules. By analysing data from a long-term deployment of the robot in a human-populated environment, we show that the proposed representation improves localisation accuracy and the efficiency of path planning. We also show how to integrate the method into the ROS navigation stack for use by other roboticists.",,10.1109/IROS.2016.7759671,,,,Navigation;Two dimensional displays;Robot sensing systems;Planning;Predictive models;Robot kinematics;mobile robotics;long-term autonomy,,2153-0866,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,FreMEn: Frequency Map Enhancement for Long-Term Mobile Robot Autonomy in Changing Environments,T. Krajník and J. P. Fentanes and J. M. Santos and T. Duckett,IEEE Transactions on Robotics,2017,IEEE Abstract,964--977,33,"We present a new approach to long-term mobile robot mapping in dynamic indoor environments. Unlike traditional world models that are tailored to represent static scenes, our approach explicitly models environmental dynamics. We assume that some of the hidden processes that influence the dynamic environment states are periodic and model the uncertainty of the estimated state variables by their frequency spectra. The spectral model can represent arbitrary timescales of environment dynamics with low memory requirements. Transformation of the spectral model to the time domain allows for the prediction of the future environment states, which improves the robot's long-term performance in changing environments. Experiments performed over time periods of months to years demonstrate that the approach can efficiently represent large numbers of observations and reliably predict future environment states. The experiments indicate that the model's predictive capabilities improve mobile robot localization and navigation in changing environments.",,10.1109/TRO.2017.2665664,,,,Hidden Markov models;Mobile robots;Uncertainty;Robustness;Harmonic analysis;Navigation;Localization;long-term autonomy;mapping,,1941-0468,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Mining visual phrases for long-term visual SLAM,T. Kanji and C. Yuuto and A. Masatoshi,,2014,IEEE Abstract,136--142,,"We propose a discriminative and compact scene descriptor for single-view place recognition that facilitates long-term visual SLAM in familiar, semi-dynamic and partially changing environments. In contrast to popular bag-of-words scene descriptors, which rely on a library of vector quantized visual features, our proposed scene descriptor is based on a library of raw image data (such as an available visual experience, images shared by other colleague robots, and publicly available image data on the web) and directly mine it to find visual phrases (VPs) that discriminatively and compactly explain an input query / database image. Our mining approach is motivated by recent success in the field of common pattern discovery-specifically mining of common visual patterns among scenes-and requires only a single library of raw images that can be acquired at different time or day. Experimental results show that even though our scene descriptor is significantly more compact than conventional descriptors it has a relatively higher recognition performance.",,10.1109/IROS.2014.6942552,,,,Visualization;Libraries;Simultaneous localization and mapping;Computational modeling;Vectors;Visual databases,,2153-0866,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
,Lifelong Localization in Semi-Dynamic Environment,S. Zhu and X. Zhang and S. Guo and J. Li and H. Liu,,2021,IEEE Abstract,14389--14395,,"Mapping and localization in non-static environments are fundamental problems in robotics. Most of previous methods mainly focus on static and highly dynamic objects in the environment, which may suffer from localization failure in semi-dynamic scenarios without considering objects with lower dynamics, such as parked cars and stopped pedestrians. In this paper, we introduce semantic mapping and lifelong localization approaches to recognize semi-dynamic objects in non-static environments. We also propose a generic framework that can integrate mainstream object detection algorithms with mapping and localization algorithms. The mapping method combines an object detection algorithm and a SLAM algorithm to detect semi-dynamic objects and constructs a semantic map that only contains semi-dynamic objects in the environment. During navigation, the localization method can classify observation corresponding to static and non-static objects respectively and evaluate whether those semi-dynamic objects have moved, to reduce the weight of invalid observation and localization fluctuation. Real-world experiments show that the proposed method can improve the localization accuracy of mobile robots in non-static scenarios.",,10.1109/ICRA48506.2021.9561584,,,,Location awareness;Simultaneous localization and mapping;Fluctuations;Navigation;Heuristic algorithms;Conferences;Semantics,,2577-087X,,,,44698.62117,44698.62117,sousarbarb,,Unclassified,
